Name,Condition,Price,Shipping,Country,Solds,SellerInfo
Shop on eBay,Brand New,20.00,N/A,N/A,0,N/A
Shop on eBay,Brand New,20.00,N/A,N/A,0,N/A
New ListingUK EDITION MUSIC BOOK 2005 BOY GEORGE WITH PAUL CORMAN BIOGRAPHY,N/A,20.00,+$10.00 shipping,from Cyprus,0,"lemesios (5,379) 100%"
"New ListingBehind Bars, The Definitive Guide to Music Notation by Elaine Gould- Faber Music",New (Other),84.99,+$59.62 shipping,from United States,0,jastar-6498 (572) 100%
New ListingThe Metropolitan Opera Guide to Recorded Opera by Paul Gruber Hardcover 1993,Pre-Owned,22.38,+$45.29 shipping,from Australia,0,"switch198080 (2,291) 99.8%"
Japanese children's music book with sound Teach your kids (Language: Japanese),Brand New,61.00,+$10.00 shipping,from Japan,0,"jpanime2014 (26,596) 99.5%"
"The English Hymnal: Full music edition, Nice Condition RARE TO FIND  NOW",Pre-Owned,19.64,+$67.00 shipping estimate,from United Kingdom,0,"king01884 (1,662) 99.6%"
A Catholic Book of Hymns & Chants - Sacred Music Library - 2021,Brand New,15.00,+$64.94 shipping,from United States,0,neinevin0 (31) 100%
"New ListingAntique: The Story of the Art of Music, by Frederick J. Crowest. 1915",Pre-Owned,12.00,+$31.12 shipping,from United States,0,lewisborolibrary (26) 100%
And the Roots of Rhythm Remain: A Journey Through Global Music by Joe Boyd,Brand New,28.54,+$62.72 shipping estimate,from United Kingdom,0,"bookmail (470,801) 100%"
"New ListingGibson Guitars: 100 Years of an American I- 0972751017, paperback, Walter Carter",New (Other),23.99,+$56.56 shipping,from United States,0,bbsbargains (848) 100%
New ListingBaroque Music: From Monteverdi to Handel By Nicholas Anderson,Pre-Owned,13.09,+$5.44 shipping,from United Kingdom,0,"book_fountain (181,310) 98.7%"
New ListingMusic: An Appreciation By Roger Kamien. 9780070335684,Pre-Owned,12.85,+$5.44 shipping,from United Kingdom,0,"book_fountain (181,310) 98.7%"
New ListingThis Business of Music Definitive Guide to the Music Industry 9th Ed. 2003,Pre-Owned,9.95,+$31.50 shipping,from United States,0,"missionfromgod1234 (1,334) 99.4%"
The Albatross Man by Peter Green Fleetwood Mac Hardback Book + Music CD - New,Brand New,124.38,+$58.92 shipping,from United Kingdom,0,rufus_stone_limited_editions (188) 100%
Hardback Book Portraits of Rush Standard Edition Prog Band Photography - New,Brand New,72.01,+$58.92 shipping,from United Kingdom,0,rufus_stone_limited_editions (188) 100%
A Photographic History of the Rolling Stones,Pre-Owned,4.58,+$24.86 shipping,from United Kingdom,0,"baham_books (2,353,729) 99.2%"
